paso,desde,hasta,distancia
149,2883,4139,1256
150,4139,2604,1535
151,2604,2495,109
152,2495,2912,417
153,2912,483,2429
154,483,4262,3779
155,4262,1575,2687
156,1575,2379,804
157,2379,4266,1887
158,4266,223,4043
159,223,1507,1284
160,1507,4457,2950
161,4457,4754,297
162,4754,2545,2209
163,2545,615,1930
164,615,4300,3685
165,4300,4892,592
166,4892,964,3928
167,964,1615,651
168,1615,2130,515
169,2130,4583,2453
170,4583,3663,920
171,3663,873,2790
172,873,797,76
173,797,802,5
174,802,3983,3181
175,3983,4899,916
176,4899,2635,2264
177,2635,3676,1041
178,3676,1631,2045
179,1631,4984,3353
180,4984,1705,3279
181,1705,1218,487
182,1218,2217,999
183,2217,127,2090
184,127,4268,4141
185,4268,3465,803
186,3465,4380,915
187,4380,4004,376
188,4004,4136,132
189,4136,845,3291
190,845,1023,178
191,1023,2812,1789
192,2812,3861,1049
193,3861,4393,532
194,4393,3372,1021
195,3372,1419,1953
196,1419,1342,77
197,1342,1312,30
198,1312,465,847
199,465,4688,4223
200,4688,1228,3460
201,1228,363,865
202,363,2315,1952
203,2315,3611,1296
204,3611,499,3112
205,499,1483,984
206,1483,451,1032
207,451,4733,4282
208,4733,466,4267
209,466,986,520
210,986,4430,3444
211,4430,905,3525
212,905,1905,1000
213,1905,2717,812
214,2717,4519,1802
215,4519,2370,2149
216,2370,3126,756
217,3126,4845,1719
218,4845,2664,2181
219,2664,2926,262
220,2926,1745,1181
221,1745,1207,538
222,1207,3786,2579
223,3786,73,3713
224,73,2169,2096
225,2169,4312,2143
226,4312,2921,1391
227,2921,4525,1604
228,4525,3318,1207
229,3318,892,2426
230,892,2227,1335
231,2227,3600,1373
232,3600,4400,800
233,4400,4769,369
234,4769,3082,1687
235,3082,2638,444
236,2638,4063,1425
237,4063,4000,63
238,4000,1591,2409
239,1591,3952,2361
240,3952,4317,365
241,4317,476,3841
242,476,2738,2262
243,2738,405,2333
244,405,3378,2973
245,3378,3838,460
246,3838,2103,1735
247,2103,1873,230
248,1873,894,979
249,894,3055,2161
250,3055,1475,1580
251,1475,4452,2977
252,4452,596,3856
253,596,4599,4003
254,4599,32,4567
255,32,764,732
256,764,1765,1001
257,1765,3318,1553
258,3318,2421,897
259,2421,4429,2008
260,4429,4306,123
261,4306,122,4184
262,122,4354,4232
263,4354,4999,645
264,4999,430,4569
265,430,4641,4211
266,4641,4795,154
267,4795,721,4074
268,721,1379,658
269,1379,1967,588
270,1967,2514,547
271,2514,4341,1827
272,4341,4260,81
273,4260,4049,211
274,4049,3410,639
275,3410,484,2926
276,484,1619,1135
277,1619,1283,336
278,1283,817,466
279,817,1515,698
280,1515,3197,1682
281,3197,4415,1218
282,4415,45,4370
283,45,238,193
284,238,2218,1980
285,2218,4007,1789
286,4007,1770,2237
287,1770,3748,1978
288,3748,1481,2267
289,1481,341,1140
290,341,515,174
291,515,2867,2352
292,2867,1219,1648
293,1219,3152,1933
294,3152,3208,56
295,3208,2462,746
296,2462,4551,2089
297,4551,242,4309
298,242,3158,2916
299,3158,636,2522
300,636,1774,1138
301,1774,2737,963
302,2737,2661,76
303,2661,4611,1950
304,4611,2887,1724
305,2887,426,2461
306,426,4638,4212
307,4638,380,4258
308,380,2726,2346
309,2726,4956,2230
310,4956,300,4656
311,300,569,269
312,569,4873,4304
313,4873,364,4509
314,364,549,185
315,549,4716,4167
316,4716,2668,2048
317,2668,613,2055
318,613,2032,1419
319,2032,2050,18
320,2050,4365,2315
321,4365,4427,62
322,4427,481,3946
323,481,2656,2175
324,2656,1570,1086
325,1570,1176,394
326,1176,1170,6
327,1170,3724,2554
328,3724,3441,283
329,3441,1422,2019
330,1422,1285,137
331,1285,4007,2722
332,4007,3568,439
333,3568,4629,1061
334,4629,1424,3205
335,1424,402,1022
336,402,1471,1069
337,1471,1215,256
338,1215,4791,3576
339,4791,3719,1072
340,3719,626,3093
341,626,4571,3945
342,4571,3448,1123
343,3448,233,3215
344,233,4979,4746
345,4979,4160,819
346,4160,2571,1589
347,2571,3399,828
348,3399,3600,201
349,3600,2642,958
350,2642,3177,535
351,3177,1156,2021
352,1156,4913,3757
353,4913,1977,2936
354,1977,775,1202
355,775,2155,1380
356,2155,701,1454
357,701,1352,651
358,1352,4955,3603
359,4955,1217,3738
360,1217,765,452
361,765,915,150
362,915,4694,3779
363,4694,235,4459
364,235,4521,4286
365,4521,237,4284
366,237,2522,2285
367,2522,3746,1224
368,3746,498,3248
369,498,376,122
370,376,4645,4269
371,4645,4132,513
372,4132,1543,2589
373,1543,270,1273
374,270,4719,4449
375,4719,1405,3314
376,1405,1252,153
377,1252,249,1003
378,249,2033,1784
379,2033,2878,845
380,2878,4504,1626
381,4504,4286,218
382,4286,2518,1768
383,2518,716,1802
384,716,4605,3889
385,4605,2815,1790
386,2815,4494,1679
387,4494,3036,1458
388,3036,1790,1246
389,1790,112,1678
390,112,1225,1113
391,1225,4302,3077
392,4302,1636,2666
393,1636,1042,594
394,1042,777,265
395,777,4799,4022
396,4799,3617,1182
397,3617,3119,498
398,3119,699,2420
399,699,2444,1745
400,2444,1905,539
401,1905,293,1612
402,293,1848,1555
403,1848,3564,1716
404,3564,605,2959
405,605,1471,866
406,1471,4054,2583
407,4054,4677,623
408,4677,3946,731
409,3946,2128,1818
410,2128,564,1564
411,564,1985,1421
412,1985,3234,1249
413,3234,1241,1993
414,1241,3926,2685
415,3926,74,3852
416,74,3602,3528
417,3602,812,2790
418,812,1606,794
419,1606,284,1322
420,284,307,23
421,307,2626,2319
422,2626,436,2190
423,436,4266,3830
424,4266,380,3886
425,380,2547,2167
426,2547,4335,1788
427,4335,3724,611
428,3724,4280,556
429,4280,572,3708
430,572,1724,1152
431,1724,2383,659
432,2383,4612,2229
433,4612,2398,2214
434,2398,1991,407
435,1991,37,1954
436,37,2469,2432
437,2469,1324,1145
438,1324,2424,1100
439,2424,4799,2375
440,4799,1463,3336
441,1463,3948,2485
442,3948,1671,2277
443,1671,1169,502
444,1169,4944,3775
445,4944,2938,2006
446,2938,2298,640
447,2298,501,1797
448,501,1814,1313
449,1814,2730,916
450,2730,22,2708
451,22,2194,2172
452,2194,3398,1204
453,3398,2261,1137
454,2261,4605,2344
455,4605,4325,280
456,4325,543,3782
457,543,221,322
458,221,344,123
459,344,809,465
460,809,3926,3117
461,3926,1932,1994
462,1932,4085,2153
463,4085,1915,2170
464,1915,1756,159
465,1756,1010,746
466,1010,2002,992
467,2002,1585,417
468,1585,157,1428
469,157,4486,4329
470,4486,4587,101
471,4587,2917,1670
472,2917,1954,963
473,1954,2751,797
474,2751,3495,744
475,3495,3653,158
476,3653,385,3268
477,385,2547,2162
478,2547,3554,1007
479,3554,197,3357
480,197,2834,2637
481,2834,3215,381
482,3215,3991,776
483,3991,2070,1921
484,2070,2734,664
485,2734,2192,542
486,2192,1236,956
487,1236,2392,1156
488,2392,4348,1956
489,4348,50,4298
490,50,2883,2833
491,2883,3702,819
492,3702,1644,2058
493,1644,4735,3091
494,4735,597,4138
495,597,1857,1260
496,1857,2383,526
497,2383,570,1813
498,570,1754,1184
499,1754,88,1666
500,88,4526,4438
501,4526,1580,2946
502,1580,1327,253
503,1327,942,385
504,942,18,924
505,18,4623,4605
506,4623,1591,3032
507,1591,973,618
508,973,908,65
509,908,2506,1598
510,2506,1869,637
511,1869,3754,1885
512,3754,2239,1515
513,2239,2036,203
514,2036,3472,1436
515,3472,4296,824
516,4296,51,4245
517,51,3260,3209
518,3260,3856,596
519,3856,2,3854
520,2,1538,1536
521,1538,2064,526
522,2064,3977,1913
523,3977,595,3382
524,595,3280,2685
525,3280,252,3028
526,252,2333,2081
527,2333,1648,685
528,1648,3063,1415
529,3063,1174,1889
530,1174,2991,1817
531,2991,201,2790
532,201,3728,3527
533,3728,2504,1224
534,2504,1685,819
535,1685,3875,2190
536,3875,2241,1634
537,2241,4077,1836
538,4077,1149,2928
539,1149,2441,1292
540,2441,2931,490
541,2931,688,2243
542,688,212,476
543,212,3765,3553
544,3765,1515,2250
545,1515,777,738
546,777,2530,1753
547,2530,2105,425
548,2105,988,1117
549,988,3881,2893
550,3881,4786,905
551,4786,4459,327
552,4459,2235,2224
553,2235,1952,283
554,1952,4753,2801
555,4753,2457,2296
556,2457,3587,1130
557,3587,4029,442
558,4029,4157,128
559,4157,3192,965
560,3192,1274,1918
561,1274,4198,2924
562,4198,2632,1566
563,2632,4892,2260
564,4892,2588,2304
565,2588,352,2236
566,352,724,372
567,724,1947,1223
568,1947,1118,829
569,1118,745,373
570,745,2537,1792
571,2537,1218,1319
572,1218,1237,19
573,1237,2004,767
574,2004,4806,2802
575,4806,1445,3361
576,1445,2440,995
577,2440,4446,2006
578,4446,405,4041
579,405,969,564
580,969,3483,2514
581,3483,2903,580
582,2903,2369,534
583,2369,1156,1213
584,1156,4614,3458
585,4614,2754,1860
586,2754,1516,1238
587,1516,1335,181
588,1335,1846,511
589,1846,2576,730
590,2576,4188,1612
591,4188,322,3866
592,322,2018,1696
593,2018,4977,2959
594,4977,2237,2740
595,2237,3209,972
596,3209,4920,1711
597,4920,261,4659
598,261,2302,2041
599,2302,86,2216
600,86,3897,3811
601,3897,1075,2822
602,1075,2997,1922
603,2997,1007,1990
604,1007,138,869
605,138,104,34
606,104,3435,3331
607,3435,474,2961
608,474,4933,4459
609,4933,2634,2299
610,2634,976,1658
611,976,206,770
612,206,535,329
613,535,677,142
614,677,438,239
615,438,1251,813
616,1251,4995,3744
617,4995,398,4597
618,398,209,189
619,209,2589,2380
620,2589,3471,882
621,3471,1678,1793
622,1678,3802,2124
623,3802,1029,2773
624,1029,3438,2409
625,3438,665,2773
626,665,240,425
627,240,4209,3969
628,4209,678,3531
629,678,3335,2657
630,3335,1296,2039
631,1296,4077,2781
632,4077,4274,197
633,4274,2171,2103
634,2171,2174,3
635,2174,3289,1115
636,3289,2850,439
637,2850,138,2712
638,138,3837,3699
639,3837,924,2913
640,924,897,27
641,897,2823,1926
642,2823,2763,60
643,2763,1914,849
644,1914,1280,634
645,1280,1829,549
646,1829,4385,2556
647,4385,3995,390
648,3995,1682,2313
649,1682,3163,1481
650,3163,4185,1022
651,4185,2124,2061
652,2124,3408,1284
653,3408,319,3089
654,319,3168,2849
655,3168,233,2935
656,233,3429,3196
657,3429,764,2665
658,764,247,517
659,247,795,548
660,795,412,383
661,412,2182,1770
662,2182,3076,894
663,3076,470,2606
664,470,161,309
665,161,4024,3863
666,4024,1590,2434
667,1590,3391,1801
668,3391,2117,1274
669,2117,460,1657
670,460,3610,3150
671,3610,2564,1046
672,2564,1454,1110
673,1454,4843,3389
674,4843,1695,3148
675,1695,1500,195
676,1500,4918,3418
677,4918,1949,2969
678,1949,625,1324
679,625,4401,3776
680,4401,2195,2206
681,2195,1683,512
682,1683,1436,247
683,1436,4155,2719
684,4155,2735,1420
685,2735,1754,981
686,1754,1246,508
687,1246,3087,1841
688,3087,1337,1750
689,1337,3203,1866
690,3203,506,2697
691,506,1415,909
692,1415,4204,2789
693,4204,2610,1594
694,2610,2338,272
695,2338,1676,662
696,1676,3686,2010
697,3686,675,3011
698,675,3477,2802
699,3477,4417,940
700,4417,1819,2598
701,1819,1460,359
702,1460,306,1154
703,306,394,88
704,394,1939,1545
705,1939,3647,1708
706,3647,1108,2539
707,1108,452,656
708,452,714,262
709,714,2598,1884
710,2598,1062,1536
711,1062,3343,2281
712,3343,502,2841
713,502,2244,1742
714,2244,2361,117
715,2361,674,1687
716,674,366,308
717,366,209,157
718,209,2483,2274
719,2483,598,1885
720,598,3489,2891
721,3489,2726,763
722,2726,1674,1052
723,1674,2293,619
724,2293,1037,1256
725,1037,2466,1429
726,2466,3730,1264
727,3730,332,3398
728,332,657,325
729,657,124,533
730,124,3635,3511
731,3635,15,3620
732,15,3133,3118
733,3133,1731,1402
734,1731,3038,1307
735,3038,2500,538
736,2500,4136,1636
737,4136,2074,2062
738,2074,3441,1367
739,3441,3035,406
740,3035,1298,1737
741,1298,143,1155
742,143,1929,1786
743,1929,1924,5
744,1924,4787,2863
745,4787,2951,1836
746,2951,4232,1281
747,4232,4754,522
748,4754,2508,2246
749,2508,4714,2206
750,4714,120,4594
751,120,1774,1654
752,1774,2125,351
753,2125,4733,2608
754,4733,4046,687
755,4046,734,3312
756,734,2190,1456
757,2190,3335,1145
758,3335,3994,659
759,3994,3240,754
760,3240,3866,626
761,3866,3883,17
762,3883,1343,2540
763,1343,2682,1339
764,2682,2833,151
765,2833,4136,1303
766,4136,4174,38
767,4174,2204,1970
768,2204,4045,1841
769,4045,2550,1495
770,2550,4079,1529
771,4079,1824,2255
772,1824,4367,2543
773,4367,3618,749
774,3618,2178,1440
775,2178,408,1770
776,408,2451,2043
777,2451,331,2120
778,331,4498,4167
779,4498,9,4489
780,9,1505,1496
781,1505,4198,2693
782,4198,1188,3010
783,1188,1479,291
784,1479,4237,2758
785,4237,4207,30
786,4207,2560,1647
787,2560,4586,2026
788,4586,1777,2809
789,1777,2769,992
790,2769,365,2404
791,365,1359,994
792,1359,3090,1731
793,3090,2424,666
794,2424,4449,2025
795,4449,4921,472
796,4921,3296,1625
797,3296,277,3019
798,277,4873,4596
799,4873,4753,120
800,4753,4114,639
801,4114,2617,1497
802,2617,813,1804
803,813,4940,4127
804,4940,3218,1722
805,3218,1862,1356
806,1862,2320,458
807,2320,3220,900
808,3220,2340,880
809,2340,498,1842
810,498,2479,1981
811,2479,1138,1341
812,1138,1997,859
813,1997,2397,400
814,2397,440,1957
815,440,4810,4370
816,4810,1033,3777
817,1033,1253,220
818,1253,1789,536
819,1789,2775,986
820,2775,4509,1734
821,4509,360,4149
822,360,1097,737
823,1097,3113,2016
824,3113,1247,1866
825,1247,267,980
826,267,4282,4015
827,4282,316,3966
828,316,1963,1647
829,1963,488,1475
830,488,1783,1295
831,1783,2324,541
832,2324,1543,781
833,1543,476,1067
834,476,2772,2296
835,2772,1581,1191
836,1581,1745,164
837,1745,4682,2937
838,4682,3356,1326
839,3356,15,3341
840,15,287,272
841,287,1914,1627
842,1914,439,1475
843,439,610,171
844,610,1992,1382
845,1992,4015,2023
846,4015,1956,2059
847,1956,3790,1834
848,3790,4633,843
849,4633,1632,3001
850,1632,2023,391
851,2023,4775,2752
852,4775,698,4077
853,698,3364,2666
854,3364,471,2893
855,471,1087,616
856,1087,4314,3227
857,4314,3123,1191
858,3123,738,2385
859,738,764,26
860,764,1872,1108
861,1872,3842,1970
862,3842,882,2960
863,882,4019,3137
864,4019,1676,2343
865,1676,1143,533
866,1143,4796,3653
867,4796,1493,3303
868,1493,3373,1880
869,3373,2855,518
870,2855,2845,10
871,2845,1306,1539
872,1306,805,501
873,805,3701,2896
874,3701,4744,1043
875,4744,1979,2765
876,1979,4562,2583
877,4562,259,4303
878,259,3071,2812
879,3071,4604,1533
880,4604,1909,2695
881,1909,2917,1008
882,2917,4350,1433
883,4350,65,4285
884,65,2952,2887
885,2952,3844,892
886,3844,1558,2286
887,1558,4792,3234
888,4792,876,3916
889,876,2985,2109
890,2985,1656,1329
891,1656,3704,2048
892,3704,3897,193
893,3897,915,2982
894,915,863,52
895,863,872,9
896,872,146,726
897,146,3058,2912
898,3058,3596,538
899,3596,2732,864
900,2732,3199,467
901,3199,1429,1770
902,1429,1604,175
903,1604,3371,1767
904,3371,3156,215
905,3156,2329,827
906,2329,1941,388
907,1941,3804,1863
908,3804,611,3193
909,611,1074,463
910,1074,4377,3303
911,4377,362,4015
912,362,1718,1356
913,1718,575,1143
914,575,3338,2763
915,3338,2510,828
916,2510,2247,263
917,2247,2601,354
918,2601,2918,317
919,2918,3436,518
920,3436,2571,865
921,2571,269,2302
922,269,2285,2016
923,2285,4352,2067
924,4352,4508,156
925,4508,3787,721
926,3787,1985,1802
927,1985,3075,1090
928,3075,727,2348
929,727,3709,2982
930,3709,524,3185
931,524,3360,2836
932,3360,310,3050
933,310,4187,3877
934,4187,4241,54
935,4241,580,3661
936,580,2518,1938
937,2518,3854,1336
938,3854,2676,1178
939,2676,1262,1414
940,1262,4411,3149
941,4411,141,4270
942,141,259,118
943,259,3875,3616
944,3875,3290,585
945,3290,2957,333
946,2957,425,2532
947,425,3212,2787
948,3212,2391,821
949,2391,1403,988
950,1403,1905,502
951,1905,388,1517
952,388,1417,1029
953,1417,2743,1326
954,2743,2512,231
955,2512,4541,2029
956,4541,4707,166
957,4707,2737,1970
958,2737,2758,21
959,2758,1051,1707
960,1051,1948,897
961,1948,4007,2059
962,4007,2110,1897
963,2110,3059,949
964,3059,465,2594
965,465,1419,954
966,1419,3083,1664
967,3083,300,2783
968,300,3817,3517
969,3817,2758,1059
970,2758,1077,1681
971,1077,1767,690
972,1767,2530,763
973,2530,409,2121
974,409,1125,716
975,1125,2644,1519
976,2644,3914,1270
977,3914,766,3148
978,766,3926,3160
979,3926,4358,432
980,4358,25,4333
981,25,754,729
982,754,4661,3907
983,4661,3711,950
984,3711,1949,1762
985,1949,3294,1345
986,3294,1330,1964
987,1330,3342,2012
988,3342,2165,1177
989,2165,86,2079
990,86,2718,2632
991,2718,1080,1638
992,1080,3786,2706
993,3786,2218,1568
994,2218,1751,467
995,1751,2052,301
996,2052,3954,1902
997,3954,1611,2343
998,1611,2555,944
999,2555,1292,1263
